"","QUAL001","QUAL002","QUAL003","QUAL004","QUAL005","QUAL007","QUAL010","QUAL012","QUAL014","QUAL015","QUAL016","QUAL019","QUAL020","QUAL024","QUAL025","QUAL026","QUAL028","QUAL030","QUAL031","QUAL032","QUAL033","QUAL034","QUAL035","QUAL036","QUAL037","QUAL038","QUAL039","QUAL040","QUAL041","QUAL042","QUAL043","QUAL044","QUAL045","QUAL046","QUAL047","QUAL048","QUAL049","QUAL050","QUAL051","QUAL052","QUAL053","QUAL054","QUAL055","QUAL056","QUAL057","QUAL058","QUAL059","QUAL060","QUAL061","QUAL062","QUAL063","QUAL064","QUAL065","QUAL066","QUAL067","QUAL068","QUAL069","QUAL070","QUAL071","QUAL072","QUAL073","QUAL074","QUAL075","QUAL076","QUAL077","QUAL078","QUAL079","QUAL080","QUAL081","QUAL082","QUAL083","QUAL084","QUAL085","QUAL086","QUAL087","QUAL088","QUAL089","QUAL090","QUAL091","QUAL092","QUAL093","QUAL094","QUAL095","QUAL096","QUAL099","QUAL100","QUAL102","QUAL103","QUAL104","QUAL111","QUAL112","QUAL113","QUAL115","QUAL116","QUAL117","QUAL118","QUAL119","QUAL120","QUAL121","QUAL122","QUAL123","QUAL124","QUAL126","QUAL128","QUAL131","QUAL132","QUAL134","QUAL135","QUAL137","QUAL138","QUAL140","QUAL141","QUAL142","QUAL143"
"AML_007_post5",0.00231,0,0.00495,0.004,0.00266,0.005,0.23243,0,0.01663,0,0,1.96604,0.02151,0.09621,0.07339,127.78218,0,0.02628,0.00347,0.01529,0.01805,74.73024,0.01199,31.07349,0.00792,0.00079,0.00083,0.00517,0.00068,0.00901,0.00101,0.00204,0.00514,0.01447,0,5e-05,0.00027,2e-05,0,1.90243,5.04014,0.00108,1.75235,0.05768,0.00407,0.28978,5.00971,0.13285,0.02592,29.44455,31.51554,4e-04,8.35153,0.74155,0.00355,0,0.01055,0.34553,0.00092,0.00243,0.00073,0,0.37357,0.00231,0.00196,0.01256,12.81571,0.02667,24.87647,4.63262,0.01242,0.00906,0.14876,0.0023,0.01172,0,0,0,0,0.43866,2.85136,0.1823,0.04388,0.04701,1.02893,0,0.26178,54.81832,0.08957,0,7.32149,0,7.44437,0.85234,0.1203,16.33715,0,0,0,2.50633,9.22413,0.08691,0,0.05741,0,0,0,22.08169,0.29011,0.00648,NA,NA,NA,NA
"AML_007_post11",0.01684,0.00362,0.01554,0.01357,0.00355,0.35164,0,0.03678,0.01389,0.02439,0.10173,0.07657,0.03122,1.2312,0.25177,9.8516,0.02071,0.00782,0.00205,0.0336,2.15713,45.89263,0.01597,1.01491,6.81622,0.00751,0.00202,0.60007,0.00184,0.10797,0.0095,0.50325,0.87133,1.80889,0.00075,7e-05,0.03683,0.00478,0.01102,48.14271,2.92733,0.03545,175.26536,0.98018,0.03903,0.69202,3.14849,0.3062,0.01362,0.03784,0.02666,0.00128,0,0.0048,0.00266,0.00648,0.0033,0.00639,0.01672,0.07165,0.00095,0.01232,1.04847,0.00578,4.61589,0,0.06257,0.00908,3.79399,0.02533,0,0.00274,0.00893,2.84246,0.64108,0.40617,0,0,4.12124,11.66329,0.55958,0.1441,0.06008,20.76194,0.27061,0.05152,0,0.75341,0.06581,1.607,0.36953,0.91205,0.6266,0.19013,0.04302,6.76672,0.23045,0,0.16666,0.13348,64.40276,16.34985,2.67343,0,0,2.27307,0.41959,2.05271,0.05103,0.79773,NA,NA,NA,NA
"AML_007_post12",0.01278,0.00756,0.00716,0.02697,0.01361,0.2071,0.00316,0.1234,0.02406,0.02654,0.27219,0.12695,0.04547,5.77009,0.66633,11.68434,0.03573,0.02069,0.00272,0.0641,1.77377,11.80072,0.01988,1.59131,21.86196,0.0453,0.00205,3.66785,0.01227,0.76873,0.0425,1.4534,3.3822,3.50002,0.00043,0.00782,0.0658,0.01691,0.02385,77.48362,5.1333,0.03966,301.31672,1.6324,0.06502,6.7711,5.13373,0.36611,0.00719,0.05146,0.03759,0.00144,0.00615,0.00919,0.0174,0.00538,0,0.00758,0.03776,0.78221,0.01287,0.03378,1.92312,0.24432,20.29033,0,0.1214,0.01437,1.4901,0.04103,0.00323,0.00665,0.03537,14.52135,4.45858,5.75843,0.03229,0.65914,0.95409,8.7601,0.33566,0.03648,0.06801,20.42949,0.00163,0.20516,0.04586,1.04703,0.12298,4.37987,0.56259,4.90444,0.88314,0.15478,0.07558,18.87367,4.75392,0.04984,0.39065,0.11232,103.6424,19.09345,0.07374,0,0,1.17956,6.09021,1.18589,0.03367,4.67041,NA,NA,NA,NA
"AML_007_post8",0.01236,0.01103,0.00881,0.0192,0.00216,0.23608,0.00178,0.00922,0.00669,0.01391,0.0803,1.19756,0.02724,0.58628,0.54099,125.69131,0.01715,0.00818,0.0023,0.08297,4.52196,86.95654,0.0176,0.56319,4.1454,0.00536,0.00099,0.27554,0.00329,0.04417,0.00419,0.27319,0.3648,1.5016,0,5e-05,0.04528,0.00396,0.00639,59.44239,9.01172,0.01024,217.30787,0.7281,0.02983,1.53136,9.43887,0.73318,0.01861,0.10623,0.14281,0,0.00353,0.00912,0.00275,0,0,0.00422,0.01157,0.07625,0.00085,0.01046,0.71705,0.00482,2.88942,0,5.4076,0.03224,35.26264,1.18654,0.0061,0.01398,0.04217,3.85845,1.0048,0.14588,0,0,2.7671,11.48603,5.1814,0.09924,0.12875,12.57503,0.60039,0.31064,0.05809,1.54985,0.04393,1.13009,4.69378,0.67483,7.37241,1.79876,0.13539,21.99876,0,0,0.07685,3.42621,64.54844,16.68846,1.62003,0,0.03179,3.98642,0.18495,51.95782,0.13968,0.55402,NA,NA,NA,NA
"AML_011_post125",0.0091,0.02662,0,0.01481,0.09865,0.09941,0,0.01313,0.01453,0.12423,0,0.03093,0.02207,6.88261,1.11053,49.57838,0.11681,0.08285,0.01329,0.2367,4.56123,6.82075,0.02275,15.46986,11.48379,1.76416,0.0461,3.16566,0.40286,6.21143,0.12058,4.19766,8.96591,0.89333,0.00148,0.10009,0.17126,0.02512,0.15772,105.8866,93.27093,0.0758,163.76293,4.95406,0.24579,163.4187,49.9444,0.24641,0.00148,0.11217,0.14028,0.00209,0.03587,0.03596,0.06324,0.00559,0.11368,2.95578,1.27905,5.74312,0.12738,2.32736,6.37611,14.72702,8.58281,0,0.03853,0.09707,0.03582,0.01541,0.0108,0.01124,0.14089,0.96544,491.8703,5.89624,0.01862,0.01159,2.17186,5.7817,1.46438,0.19821,0.05602,16.75507,0.05878,0.08844,0.86181,2.2975,0.12132,4.98129,3.43568,7.79935,5.0726,1.68072,0.38789,11.08063,7.34533,0.01212,0.75579,0.8851,0.7244,17.68505,4.99963,0.0099,0.00623,0.16479,8.53187,4.94435,0.04278,2.56774,0.46486,0.1125,0.09057,0.01152
"AML_007_post26",0.00854,0.00728,0.0071,0.01033,0.00241,0.43999,0.3095,0,0.0068,0.00376,0,5.05343,0.06949,0.18627,0.1435,191.26004,0.00539,0.00173,0.00193,0.05358,0.57671,119.6503,0,0.74216,0.01763,0.00202,0.00093,0.04351,0.00406,0.00503,0.00085,0.00559,0.00108,0.1821,0.00014,0.00039,0.01102,0.00011,0.00383,0.74443,68.8006,0.00571,33.63821,3.24739,0.02377,0.02572,3.69219,0.19164,0.01408,0.04203,0.25842,0.00152,0.00512,0.01569,0.00325,0.01777,0.01492,0.01733,0.00142,0.00354,0.00028,0.001,0.85028,0.00896,0.01748,0.01202,0.36383,0.11532,0.6082,0.01788,0.00817,0.01865,0.03883,0.02641,0.01897,0,0,0,0,0.66152,15.12277,1.04311,0,0.02725,1.85396,0,1.53168,83.30027,0.03306,0,34.44946,0,52.59268,1.98618,0.51565,27.6184,0,0,0,11.28199,27.03119,0.0257,0.11212,0.21243,0.0732,3.42351,0,75.63772,0.03755,0.00234,NA,NA,NA,NA
"AML_008_post5",0.00376,0.00385,0.0037,0.00657,0.00159,0.00134,0.23151,0,0.0052,0.00664,0,0.22934,0.02357,0.06101,0.10837,277.20345,0,0.02353,0,0.0738,0.00466,140.83603,0,56.09432,0.0083,0.00053,0.00109,0.00572,0.00524,0.00248,8e-04,0.00012,0.00183,0.01854,0.00099,0.001,0.00419,0.00131,0.00471,0.30817,0.42154,0.00124,2.55202,0.05479,0.00607,0.05572,0.48909,0.00788,0.04405,147.24743,373.86107,0.0021,10.46241,1.33673,0.0056,0.02408,0.18597,7.95427,0.00062,0.00444,0.00027,0.00066,0.03723,0.00839,0.00532,0.03583,79.70093,0.02926,125.92967,8.3249,0.05035,0.03837,3.70124,0.03194,0.01346,0,0,0,0,0,11.38959,2.36884,0,0.02786,4.29226,0,1.53307,79.50962,0.04193,0,59.18519,0,61.802,2.29127,0.97165,16.304,0,0,0,19.19649,40.15805,0.0186,0,0.17018,0.07594,0.02123,0,76.00862,0.17775,0.00235,NA,NA,NA,NA
"AML_007_post21",0.00965,0.00493,0.00671,0.00856,0.00143,0.47506,0.11789,0,0.00484,0.01549,0,1.8484,0.02269,0.00539,0.06065,115.64574,0,0,0.00168,0.01139,0.01167,55.20642,0,2.72163,0.00848,0.00232,0.00149,0.0185,0.00258,0.00477,0.00102,0.00207,0.00204,0.03408,0.00041,0.00092,0.00525,0.00105,0.00586,0.36766,4.41675,0.00104,8.28305,0.15678,0.00459,0.04127,2.75331,0.07333,0.01628,0.09008,0.26884,0.00271,0.00678,0.02548,0.00397,0.01875,0.0194,0.03144,0.00117,0.00526,0.00042,0.00121,0.2298,0.00922,0.02315,0.00842,1.97658,0.05648,3.18208,0.0773,0.00754,0.0131,0.0675,0.02442,0.02634,0,0,0,0,0.62045,6.9584,0.41295,0,0,2.50513,0,0.65453,58.05076,0.02805,0,12.34744,0,18.85015,0.92302,0.25188,19.60693,0,0,0,4.23989,24.54636,0,0.09026,0.07433,0.04535,1.43966,0,37.663,0.10753,0.0037,NA,NA,NA,NA
"AML_002_post97",0.00496,0.00209,0.00155,0.04356,0.48002,0.10229,0.04075,0.021,0.18325,0.00367,0.06469,0.03421,0.01248,1.95065,0.52304,123.49616,0.46898,0.11053,0,0.40646,0.19898,26.6499,0.04103,30.22435,0.06929,24.05847,0.10178,0.08235,9.62328,64.0066,0.00558,0.07816,0.12096,0.07145,0.36361,1.39847,0.2515,0.12325,0.11561,1.26185,3.58645,0.00958,0.5073,0.41305,0.03303,631.68958,86.21636,0.64708,0.01527,0.13393,0.16906,0.01143,0.48908,0.02201,0.00714,0.16001,0.01999,0.03242,0.71935,47.96809,9.55768,0.14727,34.7417,103.95731,0.14514,0.01956,0.06155,0.03567,0.0836,2.3097,0.01471,1.12043,0.03756,0.06719,0.53484,6.00901,0,0.23651,0.45756,4.4285,3.75858,0.03945,0,17.52662,0,0.1067,0.12268,15.39279,0.53624,4.05818,39.90399,6.26159,38.78896,0.36372,0.77988,4.11174,11.51875,0.02225,0.56243,2.87092,5.8417,4.13749,0.02636,0.03168,0,0,8.25583,42.85633,0.0953,0.50539,NA,NA,NA,NA
"AML_007_post22",0.00552,0.00345,0.00609,0.00709,0.00197,0.05973,0.09831,0,0.00402,0.00606,0,1.59597,0.02633,0.00227,0.06012,106.09219,0,0,0,0.01326,0.0077,55.04669,0,3.12566,0.00815,0.00141,0.00114,0.01424,0.00432,0.00526,0.00098,0.00256,0.00126,0.02428,0.00026,0.00121,0.00243,6e-04,0.00157,0.22742,6.53735,0.00022,6.32636,0.23608,0.00723,0.02854,2.53021,0.04605,0.01362,0.05994,0.18514,0.00192,0.00609,0.02052,0.00355,0.01752,0.01447,0.02463,0.00118,0.00326,0.00044,0.00078,0.21789,0.00866,0.01676,0.01175,1.05015,0.06013,1.72385,0.03396,0.00776,0.01238,0.04992,0.01881,0.02062,0,0,0,0,0.30155,5.97558,0.43024,0,0.02669,2.18132,0,0.74033,55.93873,0.04072,0,6.27179,0,11.50843,1.34153,0.15237,10.603,0,0,0,4.43593,12.50071,0,0.07071,0.08738,0.04862,0.76879,0,31.70005,0.08761,0.00089,NA,NA,NA,NA
