"","QUANT003","QUANT005","QUANT006","QUANT007","QUANT008","QUANT009","QUANT010","QUANT011","QUANT012","QUANT013","QUANT018","QUANT020","QUANT021","QUANT022","QUANT026","QUANT027","QUANT028","QUANT029","QUANT030","QUANT031","QUANT032","QUANT033","QUANT034","QUANT035","QUANT036","QUANT037","QUANT038","QUANT039","QUANT040","QUANT041","QUANT042","QUANT043","QUANT044","QUANT045","QUANT046","QUANT047","QUANT048","QUANT049","QUANT050","QUANT051"
"AML_007_post5",0,0,0,0,0,52.82731,45.00734,6.97911,837.29982,784.5146,0,0,369.70182,632.38317,0,0,0.02,NA,NA,NA,NA,NA,NA,13.37,0.31,0,2.56,1041.77,0.11,0.05,659.8,953.8,0,0,0,7530,1890,0,0,0
"AML_007_post11",0,54.45423,0,0,0,1361.51299,4711.52717,19.63831,0,0,0.02547,0,0,94.47353,44.98217,0.18,0.05,NA,NA,NA,NA,NA,NA,0.57,0.5,0,41.39,51.77,0.21,7.47,370.65,23.27,3220,60270,10930,0,7160,20780,29200,1230
"AML_007_post12",0,107.51346,0,0,0,2191.90015,8101.5908,210.7998,0,0,24.17219,27.37653,1.54092,35.69905,322.79674,0.42,0.1,NA,NA,NA,NA,NA,NA,0.96,0.73,0,158.84,63.47,0.39,6.34,96.36,34.61,1150,48090,11520,0,15590,27890,1090,780
"AML_007_post8",0,44.81155,0,0,0,1681.30413,5842.21733,46.02649,0.71174,1.00945,0.1783,0,154.85291,897.3822,71.44677,0.58,0.09,NA,NA,NA,NA,NA,NA,10.16,0.51,0,22.83,1200.97,0.68,15.19,844.05,14.38,1940,71390,5700,0,7870,23830,16670,1840
"AML_011_post125",48.8788,27.09251,0,1.22369,0.70974,3030.1749,4452.51264,5074.98726,1.44573,2.66323,193.53031,1562.16144,0,0,36847.89438,1.21,0.06,0,1.95,0,0.35,12.01,0,0.12,0.47,0,218.65,256.32,1.44,11.62,47.78,286,410,35160,8180,70,20,21400,40160,20
"AML_007_post26",0,3.20607,0,0,0,20.14773,922.68722,0,0,3.35052,0,0,8.22493,12.85631,0,0.4,0.03,NA,NA,NA,NA,NA,NA,39.13,1.18,0,6.33,1912.1,0.43,1.77,1237.7,19.62,0,4770,0,10940,2720,0,680,1410
"AML_008_post5",0,0,0,0,0,7.66684,67.86588,0,4250.66726,9333.71993,0,0,2309.24555,3210.39364,0,0.18,0.01,NA,NA,NA,NA,NA,NA,1.32,0.35,0,2.62,3057.23,0.46,0.01,1346.29,2834.98,0,1450,0,10490,4570,0,0,0
"AML_007_post21",0,0,0,0,0,9.37341,225.45277,0,0,3.60825,0,0,55.01301,78.53403,0.02547,0.29,0.04,NA,NA,NA,NA,NA,NA,15.46,0.41,0,1.43,1038.17,0.07,0.03,518.95,350.95,0,4400,0,5540,2520,0,550,660
"AML_002_post97",985.79818,0,84.86458,4.69897,0.70974,34.97198,11.64953,19861.79317,1.17883,1.11684,1626.61742,11500.07966,0,0,37.03515,0.1,0.21,NA,NA,NA,NA,NA,NA,0.27,0.24,0,76.91,1012.34,2.95,0.66,212.59,1059.17,180,29030,9870,2060,1180,5430,500,0
"AML_007_post22",0,0,0,0,0,5.37443,171.65932,0,0,1.52491,0,0,28.13688,41.32247,0,0.21,0.03,NA,NA,NA,NA,NA,NA,13.2,0.5,0,1.62,1019.79,0.09,0.02,561.87,427.57,0,3140,0,5320,1500,0,460,330
"AML_004_post96",0,2.93686,0,0,0,868.97606,1826.01566,0.22924,32.18416,617.89089,1.17168,0,121.25275,187.84177,4703.64238,0.62,0.08,NA,NA,NA,NA,NA,NA,2.36,0.24,0,38.34,1671.07,0.4,37.47,42.17,1146.51,1520,53130,11260,120,290,1970,710,590
"AML_008_post1",8.30219,24.15565,0,0.29369,1.41948,274.96179,3254.50318,2129.26643,0.02224,1.39605,170.65716,88.84758,0,0,542.10392,2.08,0.16,NA,NA,NA,NA,NA,NA,9.35,0.18,0,96.87,42.12,1.14,3.06,19.21,66.9,80,33560,5890,0,110,8710,0,10
"AML_007_post25",0,6.36319,0,0,0,32.34845,1927.36172,0,0,6.93729,0,0,21.57294,24.0256,0,0.4,0.03,NA,NA,NA,NA,NA,NA,36.38,1.29,0,4.35,1922.67,0.16,3.32,1348.62,12.57,0,6770,0,11260,2820,0,640,1550
"AML_007_post15",1.54832,0,0,0,0,4.15181,4.18502,197.9623,0,0,57.13194,29.66012,0,0,7.36118,0.53,0.31,NA,NA,NA,NA,NA,NA,20.89,0.55,0,83.09,123.6,0.62,10.8,19.75,39.28,3260,36260,5750,0,6970,14950,870,1260
"AML_007_post20",0,0,0,0,0,19.5619,187.29809,0,1.15658,1.97595,0,0,52.35141,79.96897,1.04432,0.34,0.03,NA,NA,NA,NA,NA,NA,13.16,0.28,0,0,936.47,0.11,0.01,489.75,707.14,0,7720,0,5060,2270,0,660,230
"AML_007_post28",0,2.6187,0,0,0,8.63474,570.36221,0,0,1.95447,0,0,7.78467,10.50999,0,0.47,0.02,NA,NA,NA,NA,NA,NA,31.91,1.02,0,2.25,1720.5,0.98,1.06,1009.22,11.64,0,5160,0,8900,2300,0,680,1230
"AML_007_post18",0,0,0,0,0,17.75344,150,2.06317,8.38523,14.54038,0,0,103.22193,97.09133,1.91034,0.21,0.01,NA,NA,NA,NA,NA,NA,11.2,0.28,0,2.27,1680.42,0.07,0.09,695.27,81.69,0,2680,0,7180,3440,0,500,730
"AML_013_post102",1.20128,66.4464,0,5.92266,7.7582,10403.07353,7524.97961,15.56291,230.53826,304.10223,7.66684,3.29262,116.95017,169.38142,29401.74053,3.59,0.74,0,12.81,0,0.64,1.95,0.29,9.89,0.88,0,133.09,78.36,1.32,9.91,15.83,45.46,470,46110,11610,380,0,3220,2730,1380
"AML_013_post109",0.34704,17.98825,0,0,0.34263,3618.35626,9635.50334,4.76312,85.83185,916.66667,0,0,255.85351,359.06535,10454.44048,0.48,0.05,0,9.38,0,1.38,1.43,0.28,3.38,0.65,0,45.46,3125.71,0.54,0.11,1065.64,2783.18,10,29190,2820,540,1320,470,2520,0
"AML_004_post265",0.82755,0,0,0,0,33.23145,52.63501,0,1304.89324,297.46564,0,0,467.1603,77.52569,143.28409,3.24,0.04,0,27.79,0,2.71,2.69,0,3.45,0.7,0.01,7.35,409.34,0.18,0.01,446.5,662.87,3250,4990,1010,90,0,200,200,0
"AML_013_post110",0.05339,11.3069,0,0,0,3109.8234,8096.78577,3.0056,273.22064,1104.10223,0,0,367.22033,327.3027,9922.98353,0.45,0.06,0,2.69,0,1.05,1.34,0,2.97,0.52,0,38.15,3511.36,0.3,0.05,412.2,3055.64,0,18420,1480,380,2480,280,3060,0
"AML_013_post104",2.69621,2.54528,0,0.24474,0.73421,839.44643,887.04519,1.17168,0.86744,9.96564,1.47733,0.15932,3.54213,21.03936,10963.25352,1.53,0.22,0,16.77,0,0.82,1.29,0,4.32,0.58,0,66.75,77.05,0.68,8.62,24.75,60.86,250,40670,6280,120,0,1710,700,990
"AML_010_post147",0.26695,0,0,0,0,0.62829,24.63697,0,998.30961,3749.93557,0,0,393.57615,952.08455,0,0.27,0.02,0,0.96,0,0.24,0,0,0.59,1.17,0,5.02,5694.23,0.14,0.01,2007.14,4580.59,0,6240,0,12000,3320,0,5530,0
"AML_013_post105",2.96316,1.76211,0,0,0,748.18305,451.3379,1.93581,0.71174,5.43385,0.78961,1.72597,1.661,5.04169,9602.35184,1.37,0.18,0,11.24,0,0.73,0.41,0,4.9,0.89,0,59.03,70.87,0.91,4.88,16.28,55.91,100,34050,2910,30,0,1430,2160,680
"AML_004_post49",0.18687,1.37053,1.27456,0.29369,0,346.00102,686.39256,1.63016,20.5516,9.62199,0,1.1418,11.94717,5.58464,56.82629,0.49,0.07,NA,NA,NA,NA,NA,NA,5.47,0.69,0,122.52,134.19,0.37,130.06,989.32,231.39,29940,41920,1640,2320,320,4090,1380,140
"AML_012_post14",5.97081,7.09741,2.23048,1.15027,0,148.87927,3517.18062,496.30667,0.24466,1.03093,39.2002,29.02284,0.38023,12.17762,6.67346,0,0.05,0,9.1,0,0.88,11.44,0,0.62,0.16,0,43.4,234.34,0.17,0.06,33.66,195.91,0,4760,0,6140,1420,170,2140,0
"AML_013_post19",0,2.66765,0,0,0,19.61284,1262.21243,15.3082,0,14.1323,0.73867,3.50505,0,1.90033,0,2.42,0.2,0,3.38,0,0.36,10.01,0,2.17,1.67,0,7.68,1417.61,0.09,0.01,19.32,1086.11,3440,7880,90,9600,2290,490,6430,100
"AML_012_post11",9.3166,23.32354,0,0,0,797.58023,5125.74645,704.43199,5.42705,2.49141,55.37443,32.60754,5.48329,15.33838,7.4376,0.38,0.1,0,90.26,0,3.27,2.41,0.14,1.88,0.29,0,101.86,337.6,0.36,0.24,57.19,293.35,2440,43960,8750,570,6140,23990,170,20
"AML_013_post27",0.05339,0,0,0,0,25.46273,144.75445,0,1715.59164,7690.20619,0,0,550.89053,1875.58658,0,0.58,0.04,0,2.04,0,0.15,1.72,0,5.23,0.78,0,4.63,2389.66,0.28,0,81.57,2414.97,0,6240,0,6090,2260,190,3920,0
"AML_012_post12",5.28564,59.54479,0,0,0,1238.76719,8029.442,955.29801,5.5605,5.0043,85.43046,12.87839,5.26316,25.36358,7.64137,0.47,0.07,0,178.61,0,3.75,3.65,0,1.39,0.14,0,48.83,337.39,0.32,0.1,57.88,286,3310,60640,16340,520,1840,36910,2680,0
"AML_012_post5",110.62467,18.91826,0,0.70974,0,11.48752,10.40137,10688.48701,0.17794,0,1024.73255,4438.39618,0,0,47.27458,1.33,0.21,0,11.77,0,0.3,0.18,1.03,0.41,0.32,0.03,169.3,285.6,0.61,8.85,54.76,261.59,240,31420,12470,440,280,18520,440,880
"AML_014_post12",0,0,0,0,0,7.64137,332.40333,0,6.38345,8.54811,0,0,3.22193,5.39073,0,0,0.04,0,0,0,0.41,12.96,0,1.79,0.79,0,2.94,1566.42,0.15,0,684.64,1605.47,0,0,0,5750,690,0,1160,0
"AML_012_post21",14.08614,7.07293,5.36378,0.68527,0,411.02904,4165.56535,2286.44931,0,0,225.49669,200.87626,2.58155,29.08668,35.32858,0,0.07,0,15.71,0,0.7,0.4,1.32,0.06,0.13,0,36.46,241.71,1.21,0.19,34.66,201.16,70,13630,3310,100,190,8970,570,0
"AML_009_post106",216.38192,3.1816,2.12427,2.5208,0.83211,2033.44371,174.54723,19874.4269,4.53737,4.48883,1817.14213,30142.35263,17.45047,27.80686,45228.40041,0.84,0.09,0,4.51,0,0.45,2.39,0.26,3.24,0.34,0.04,61.16,54.73,3.44,0.82,14.16,67.73,70,38630,4790,0,60,20050,770,0
"AML_014_post20",0.0178,0,0,0,0,1.96128,16.74009,0,963.01157,2454.14519,0,0,409.62578,908.37696,0,0.18,0.03,0,0,0,0.24,0.51,0,2.51,1.09,0,1.78,604.84,0.17,0.01,315.51,619.66,0,0,0,2010,270,0,0,0
"AML_013_post13",220.42178,0,0,0,0,8.43097,0.78316,148.70097,0,0,3.69333,328.30589,0,0,0,0.24,0.07,0,4.16,100,2.37,2.39,3.54,1.79,0.21,0,48.93,543.46,0.17,0.07,38.49,253.27,1150,28980,4440,460,190,25860,7350,120
"AML_009_post95",387.61345,2.00685,0.55762,2.74107,3.45081,2914.67142,235.11992,8413.67804,0,0,662.02241,11545.37971,0.86052,4.13031,29600.10188,0.44,0.08,0,0.71,0,2.11,0.49,0.81,0.45,0.42,0,77.72,243.46,2.18,2.06,56.99,224.34,600,77200,3760,1200,120,20440,0,0
"AML_010_post106",0,0,0,0,0,3.13296,27.09251,0,1628.84786,2513.29467,0,0,546.92816,548.18693,0,0.25,0.11,0.17,0.62,0,0.24,0.31,0,0.35,0.58,0,11.05,2479.64,0.04,0.01,1246.28,2364.05,0,40,0,9250,2780,0,0,0
"AML_009_post96",164.62894,41.80127,0.77005,1.71317,0.41605,1416.22517,4721.16985,6860.87621,0,5.90636,335.71065,10493.83962,3.26196,29.6878,7941.64544,4.53,0.62,0.04,5.66,90,1.54,1.98,1.36,6.76,9.71,0,132.48,580.03,1.9,2.03,218.15,518.78,620,77160,4570,2130,330,38150,2650,0
"AML_013_post26",0,0,0,0,0,10.84225,114.16218,0,1748.48754,7966.62371,0,0,532.23934,1783.24607,0,0.47,0.05,0,1.29,0,0.13,2.04,0,7.22,0.49,0,6.61,2642.54,0.97,0,45.85,2938.28,0,5100,0,8350,2680,260,3130,0
"AML_007_post148",25.67183,3.35291,3.05364,5.84924,0.41605,220.30056,27.80225,7718.36475,1.13434,0.45103,582.70504,6809.55921,0,0,543.81049,1.34,0.1,0,4.03,0,0.7,7.55,3.31,8.63,1.01,0,72.89,71.32,0.99,5.51,29.93,112.59,1360,45640,9020,220,150,20110,3080,210
"AML_013_post28",0,0,0,0,0,20.52131,289.29679,0,785.80961,4323.15292,0,0,260.9966,919.6432,0,2.59,0.06,0,3.07,0,0.22,2.75,0,3.8,1.48,0.01,5.68,1102.73,0.18,0,73.19,1221.08,0,3810,0,4190,1710,170,3710,0
"AML_013_post33",0,0,0,0,0,20.29207,194.16707,0,2569.57295,7285.13746,0,0,471.76306,1089.04402,82.68806,1.53,0.03,0,1.49,0,0.27,1.6,0,5.95,2.49,0,2.67,2716.65,0.26,0.01,97.89,2908.25,0,1900,0,6690,1860,160,2340,0
"AML_012_post6",79.6583,2.0558,0,0,0,0,0.14684,38.94549,0,0,4.02445,64.31227,0,0,0,0.19,0.02,0,6.39,0,0.52,0,0.15,0.2,0,0,31.24,149.84,0.06,0.3,30.5,142.13,150,13130,1600,300,120,4260,210,10
"AML_013_post21",0,4.30739,0,0,0,536.29648,1995.12971,68.56852,168.41637,185.88918,0,0,43.326,72.32887,0.28018,0.27,0.03,0,0,0,0.26,6.79,0,2.7,0.25,0,1.94,1926.48,0.05,0,618.22,1986.28,250,4990,0,9990,3810,0,4030,0
"AML_013_post32",0.26695,0,0,0,0,57.964,900.99527,0,1948.93238,8118.10567,0,0,487.97278,1499.3407,59.71302,0.27,0.03,0,0.72,0,0.12,0.75,0,5.3,0.57,0,5.07,3525.76,0.26,0.01,58.69,3717.86,0,1950,0,9140,1990,140,2510,0
"AML_013_post12",45.14148,1.19922,0,0,0,16.37799,17.1072,1151.37545,0,0,54.40652,683.0855,0,0,8.32909,0.73,0.13,0,3.84,90,0.62,0.33,0.73,2.19,0.68,0,71.8,183.56,0.34,0.12,32.51,179.1,210,17890,4070,400,130,10370,630,10
"AML_012_post25",10.51789,13.28928,6.98354,2.42291,0,492.68127,6156.91793,379.75038,1.51246,1.99742,50.94244,34.78492,6.30378,35.52453,43.74257,0,0.06,0,6.39,0,0.91,0.63,1.99,0.06,0.22,0,50.8,220.92,1.17,0.25,29.58,189.2,130,41030,6850,390,130,22510,2500,0
