sampleid,isoursodeoxycholic acid,murideoxycholic acid
AML_001_07,1.863257023,0.017762486
AML_001_09,4.125785368,0.054321548
AML_001_11,0.572787543,0.026912059
AML_001_13,4.159790717,0.048236996
AML_001_15,3.599699501,0.027645798
AML_001_17,0.820118625,0.009198988
AML_001_20,0.354754622,0.005368576
AML_001_23,0.317619595,0.001022772
AML_001_25,0.095112784,0.000494253
AML_001_26,0.16463518,1.10E-07
AML_001_29,0.264091711,0.001995109
AML_002_05,0.313630911,0.182963134
AML_002_07,0.082286754,0.075166174
AML_002_09,0.138159125,0.103382983
AML_002_11,0.066296026,0.054534816
AML_002_13,0.239728701,0.094652038
AML_002_15,1.883024833,0.022959872
AML_002_16,0.34820201,0.014144001
AML_002_19,0.051946398,0.014296444
AML_002_20,3.81204728,0.025115937
AML_002_22,1.708901408,0.007076914
AML_002_27,0.021169285,0.007982192
AML_003_06,0.127515458,0.02338822
AML_003_12,0.02970803,0.006690741
AML_003_15,0.263896928,0.009735372
AML_003_25,0.256711729,0.015498109
AML_003_29,0.427837729,0.00694284
AML_003_35,NA,0.003158068
AML_003_38,NA,0.00052528
AML_003_43,0.034884093,0.009375351
AML_004_05,0.222190143,0.000894239
AML_004_08,0.176081976,0.001004658
AML_004_10,0.076592661,0.000349517
AML_004_16,NA,0.001942435
AML_004_19,NA,0.001204855
AML_004_25,NA,NA
AML_004_27,NA,NA
AML_004_32,NA,NA
AML_004_33,NA,NA
AML_004_37,NA,NA
AML_004_41,NA,NA
AML_004_43,0.890870694,0.008099675
AML_004_45,2.437507767,0.002247262
AML_005_03,0.009717889,0.015670543
AML_005_04,0.015950794,0.02203759
AML_005_17,0.026205668,0.004984226
AML_005_18,0.009223216,0.003097147
AML_005_22,0.007026142,0.001231784
AML_005_24,0.026567126,0.005442474
AML_005_27,0.046645113,0.006943508
AML_005_30,0.031786216,0.008990718
AML_007_04,0.27012086,0.004476471
AML_007_08,0.009175351,NA
AML_007_14,0.004045904,NA
AML_007_16,0.95795305,0.003581935
AML_007_18,0.616094561,0.004698091
AML_007_20,4.134777809,0.017282052
AML_002_35,0.30842625,0.028687859
AML_002_39,11.90347798,0.046554359
AML_003_50,1.05703102,0.0075917
AML_003_53,0.359188187,0.007399785
AML_004_56,63.45333509,0.014551451
AML_007_25,0.105242787,0.002982925
AML_007_26,0.044511911,0.000343434
AML_007_28,0.083791409,NA
AML_007_30,0.033566343,NA
AML_007_33,0.020572686,NA
AML_007_34,0.014239613,NA
AML_007_39,0.015603714,NA
AML_007_41,0.012463164,NA
AML_007_43,0.014595,NA
AML_007_45,0.009023341,NA
AML_007_47,7.440999973,0.010084667
AML_008_02,7.290051386,0.007756505
AML_008_06,0.008354653,NA
AML_008_14,0.006144744,NA
AML_008_18,0.001725453,NA
AML_008_19,0.008106856,NA
AML_008_25,0.003111352,8.21E-05
AML_008_27,0.003795989,NA
AML_008_28,0.003243108,NA
AML_008_30,0.003514139,0.000160805
AML_008_33,0.002326073,NA
AML_002_36,23.16672074,0.027675439
AML_002_41,0.197096789,0.137779928
AML_002_45,685.7152939,0.077815864
AML_002_47,560.735853,0.054735376
AML_002_49,168.0990212,0.03369717
AML_002_50,163.8410937,0.046842091
AML_003_56,0.058075755,0.006975681
AML_003_59,0.103680912,0.008018742
AML_007_49,4.956201022,0.02261166
AML_007_56,33.27895994,0.061066325
AML_008_10,0.328887031,0.000618223
AML_008_11,0.155656243,0.000315788
AML_008_35,0.002100925,NA
AML_008_40,0.006413709,0.00056268
AML_008_44,0.508724721,0.013345138
AML_009_02,0.016977559,0.011099697
AML_009_32,398.0431443,0.096587755
AML_009_35,115.8337619,0.024170539
AML_010_11,1.382719355,0.001114141
AML_010_17,0.013446184,0.002342816
AML_010_19,0.014803061,0.000632536
AML_010_23,0.012097607,0.006974747
AML_010_27,0.108599808,0.006488783
AML_011_32,0.420987177,0.00882243
AML_012_08,1.009050688,0.039557936
AML_012_09,0.353290263,0.024688744
AML_012_12,0.516879412,0.049714274
AML_012_15,0.01024499,0.001391273
AML_012_20,0.060130961,0.009655421
AML_012_22,0.11204664,0.004092686
AML_012_24,0.091016354,0.00338606
AML_013_13,1.651812336,0.006624158
AML_013_15,0.118482943,0.001539083
AML_013_17,0.013176572,NA
AML_002_55,4.22031834,0.012882717
AML_002_57,1.888058404,0.022362822
AML_002_63,197.9127799,0.073822485
AML_005_39,0.272820087,0.142943804
AML_007_54,0.477567345,0.058252912
AML_009_23,0.054923174,0.01590182
AML_013_19,0.112011265,0.001176958
AML_013_22,0.173395124,0.004243013
AML_013_23,0.005183747,0.000118151
AML_013_26,0.010079307,0.000801887
AML_013_28,0.017404917,0.000126867
AML_014_07,0.014335747,NA
AML_007_57,7.635151212,0.021986363
AML_009_41,127.9262163,0.002842641
AML_009_46,638.2736657,0.036201588
AML_010_34,0.361147496,0.002616717
AML_010_38,0.001678914,NA
AML_010_40,0.000261174,NA
AML_011_03,0.476124164,0.008639921
AML_011_09,0.072081074,0.006494105
AML_011_11,0.164318735,0.001800969
AML_011_13,0.086436605,0.007385505
AML_011_15,0.029745863,0.003583869
AML_011_18,0.370347947,0.011607828
AML_011_22,0.468058533,0.010103632
AML_011_24,0.247453537,0.001454605
AML_011_26,0.062284535,6.23E-05
AML_011_28,0.051343657,NA
AML_012_26,0.115876824,0.0033343
AML_012_30,0.071918413,0.007511825
AML_012_33,0.090658518,0.007946243
AML_012_36,0.506205209,0.01430039
AML_013_06,0.894343794,0.004243999
AML_013_08,0.187683,0.002691239
AML_013_10,0.418197577,0.002729012
AML_013_33,NA,0.000153731
AML_014_14,0.002775998,NA
AML_014_16,0.002290179,0.000287455
AML_014_22,NA,9.13E-07
AML_004_71,1.848268458,2.55E-05
AML_013_87,4.348640769,0.00065305
AML_007_62,0.031444588,NA
AML_010_43,0.000141098,NA
AML_010_45,0.000698665,NA
AML_011_40,487.1376833,0.025833611
AML_012_39,0.338831994,0.014399868
AML_012_42,0.45970313,0.01581425
AML_012_48,0.800522447,0.012104338
AML_012_50,0.680794118,0.016966999
AML_013_35,0.010722526,NA
AML_013_37,0.010209417,0.00071817
AML_013_38,0.00907835,0.000276786
AML_013_43,0.752421691,0.001385447
AML_013_45,1.032218543,0.003213249
AML_013_48,0.284888848,0.001792384
AML_013_50,0.261350498,0.001252997
AML_013_53,4.068419806,0.005162405
AML_013_57,0.696949037,0.001528374
AML_013_58,0.511382428,0.00121782
AML_013_60,0.538385548,0.000175023
AML_013_66,312.2641953,0.755133757
AML_013_70,135.0854524,0.128538135
AML_013_73,118.5560178,0.14654636
AML_013_76,133.8081633,0.030809192
AML_013_78,128.7150707,0.032469636
AML_011_51,18.29306048,0.006271153
AML_014_29,0.099532244,NA
AML_014_35,0.061398923,NA
AML_013_81,11.43307578,0.000937478
AML_005_07,0.03352012,0.027006867
AML_005_13,0.058857434,0.011430583
AML_009_10,NA,0.001046797
AML_009_12,NA,0.005708917
AML_009_14,0.001350286,0.013855198
AML_010_01,0.191281165,0.052522232
AML_010_05,0.016174786,0.004890933
AML_010_07,0.204823195,0.009669058
