sampleid,isoursodeoxycholic acid,murideoxycholic acid
AML_001_06,0.02237365,0.001823899
AML_001_08.,0.006948225,0.000607474
AML_001_10,0.016908745,0.000749976
AML_001_14,0.010067078,0.000570939
AML_001_18,0.003042865,0.000156595
AML_001_21,0.000746686,0.000355593
AML_001_22,0.000568587,0.000349952
AML_001_24,0.000904221,0.00056727
AML_001_27.,0.000603999,0.000899716
AML_001_30..,0.001374277,0.001133294
AML_002_04.,0.002384612,0.001282682
AML_002_06,0.001362833,0.000664358
AML_002_08,0.001845001,0.00048777
AML_002_10.,0.006550301,0.000927169
AML_002_12,0.004653101,0.000605095
AML_002_14,0.006130125,0.000755838
AML_002_17.,0.00686049,0.000337616
AML_002_18.,0.00201587,0.000360254
AML_002_21.,0.003776746,0.000269198
AML_002_23.,0.002639052,0.000222362
AML_002_26,0.002479987,0.000629376
AML_003_11,0.000836229,0.000495046
AML_003_14,0.000781279,0.000442951
AML_003_24,0.001341795,0.000499778
AML_003_28,0.001649716,0.000585598
AML_003_36,0.001247397,0.000473205
AML_003_37,0.001585598,0.00047467
AML_003_42,0.000840688,0.000457498
AML_004_06,0.000571469,1.75E-05
AML_004_07.,0.000116215,0.000103977
AML_004_09,0.001017792,7.88E-05
AML_004_17,2.98E-05,0.000332631
AML_004_18,3.16E-05,0.000481324
AML_004_23,NA,0.000445474
AML_004_26,8.36E-05,0.000296955
AML_004_29,4.87E-05,0.000310913
AML_004_31,7.37E-05,0.00031934
AML_004_36,0.000130322,0.000107272
AML_004_40,1.01E-06,0.000198027
AML_005_02,0.001144089,0.000273542
AML_005_06.,0.000890567,0.000278226
AML_005_08,0.001263388,0.000161064
AML_005_12,0.000721846,0.000210495
AML_002_34,0.001957391,7.68E-05
AML_004_42,0.004357807,0.000329234
AML_004_46,0.003065771,0.000124491
AML_004_55,0.013697058,0.000120986
AML_005_16,0.000904671,0.000144316
AML_005_19,0.002242503,0.000184715
AML_005_20,0.001152193,0.000349138
AML_005_25,0.00080313,0.000375847
AML_005_28,0.000883505,0.00027825
AML_005_29,0.000823204,0.000244112
AML_007_03,0.000455364,0.000193397
AML_007_09,5.89E-05,0.000106096
AML_007_13,3.33E-06,0.000104733
AML_007_15,0.000129896,6.81E-05
AML_007_17,0.001207845,0.000103076
AML_007_19,0.014335006,0.000229674
AML_007_24,0.020193879,0.000421939
AML_007_27,0.000875974,0.000527423
AML_007_29,0.00022566,7.67E-05
AML_007_31,8.50E-05,8.24E-05
AML_007_32,0.000152363,0.000165087
AML_007_35,8.81E-05,5.11E-05
AML_002_37,0.02137248,0.00026879
AML_002_38,0.014348208,0.000195339
AML_002_40,0.013412893,0.000620093
AML_002_44,0.050300602,0.000405888
AML_002_46,0.110875628,0.000440201
AML_002_48,0.086725859,0.000430756
AML_002_51,0.125383777,0.000399813
AML_002_53,0.067405117,0.000347151
AML_002_56,0.048737386,0.00019247
AML_002_64,0.15744023,0.000224006
AML_003_49,0.005948519,0.000411364
AML_003_52,0.004585732,0.000621003
AML_003_55,0.007006698,0.000577772
AML_003_58,0.006593285,0.000910209
AML_005_38,0.002740276,0.000244668
AML_007_38,0.000253176,0.000154587
AML_007_40,0.000225361,0.000137098
AML_007_42,0.000120111,0.000121982
AML_007_44,0.000203109,0.00010889
AML_007_46,0.028958408,0.000562793
AML_007_48,0.001073703,0.000672312
AML_007_53,0.014240748,0.001659353
AML_008_01,0.027180507,0.000339723
AML_008_07,5.57E-05,9.37E-05
AML_008_08,3.56E-05,0.000106649
AML_008_09,1.97E-05,7.23E-05
AML_008_13,0.000124511,0.000289682
AML_008_16,3.91E-05,0.000325868
AML_008_20,9.83E-05,0.000402641
AML_008_24,0.000155169,0.000459804
AML_008_26,0.000157851,0.000357841
AML_008_29,0.000108238,0.000243582
AML_008_31,6.29E-05,0.000171599
AML_008_32,3.64E-05,0.00011054
AML_008_34,6.86E-05,0.000175795
AML_008_39,5.51E-05,6.80E-05
AML_008_43,0.014085608,0.000420479
AML_009_01,0.004413854,0.000458684
AML_009_08,6.54E-05,0.000247681
AML_009_11,5.46E-06,0.000312016
AML_009_13,6.56E-05,0.000383385
AML_010_02,0.00132326,0.000621134
AML_010_04,0.004254388,0.000506836
AML_010_06,0.007111576,0.000518455
AML_010_10,0.002456541,0.000530688
AML_011_04,0.001392266,0.000302302
AML_011_08,0.000725709,0.000199803
AML_011_10,0.000663149,0.000231119
AML_011_12,0.003134006,0.000302382
AML_011_16,0.011094216,0.000524465
AML_011_17,0.008857364,0.000571101
AML_012_07,0.007109068,0.000297162
AML_012_10,0.001816503,0.000190427
AML_012_13,0.003048258,6.04E-05
AML_012_14,0.001715796,0.000129747
AML_013_05,0.003330068,0.000146017
AML_013_07,0.001143427,0.000119397
AML_013_09,0.000752087,0.000141933
AML_013_12,0.003619331,0.000457769
AML_013_14,0.002009031,0.000304729
AML_014_06,1.06E-05,9.37E-05
AML_014_12,3.56E-05,0.000111994
AML_009_24,0.005274025,0.001695246
AML_009_31,0.474706952,0.002317136
AML_009_33,0.046831031,0.000613338
AML_010_16,0.001717856,0.000175423
AML_010_18,0.001119484,0.000209052
AML_010_22,0.002430605,0.000151056
AML_010_26,0.002115365,0.000314473
AML_011_20,0.010979716,0.000428277
AML_011_23,0.006794086,0.000255639
AML_011_25,0.001019444,0.000191244
AML_011_27,0.000329899,0.00014413
AML_011_31,0.004673855,3.22E-05
AML_012_18,0.001892213,3.56E-05
AML_012_21,0.001673704,0.000230793
