sampleid,isoursodeoxycholic acid,murideoxycholic acid
1A,0.005453383,0.001244877
3A,0.001792684,0.000253378
4A,0.000299505,1.56E-05
7A,0.000687026,9.43E-05
9A,NA,0.000119954
11A,0.000291042,0.000163376
12A,0.001155983,0.000414711
18A,0.000335716,7.57E-05
21A,1.38E-05,0.000143518
25A,NA,NA
27A,0.001034733,0.000474376
37A,NA,NA
39A,0.000242217,NA
40A,0.000835428,0.000106158
42A,0.000381979,5.85E-05
43A,0.000153938,NA
44A,0.002942756,0.000131888
46A,NA,5.76E-05
47A,0.002120028,0.000272357
48A,0.000143833,7.75E-06
50A,0.000955392,0.000539102
52A,0.004570967,0.000567241
53A,0.002405767,0.000155802
55A,0.000244422,0.00021682
58A,0.001014626,0.000123122
61A,0.002165209,0.000622945
64A,0.00204913,0.000348942
65A,0.000811777,0.000757656
71A,1.21E-05,NA
72A,0.010185819,0.000265218
74A,4.88E-05,NA
78A,0.00195413,NA
81A,0.004051563,2.39E-05
82A,4.19E-06,3.16E-05
83A,NA,NA
87A,0.000179344,0.000253573
88A,0.000139487,0.001053718
89A,0.000216165,2.56E-05
90A,0.002954441,0.001156871
92A,0.00080037,4.54E-05
96A,0.000283263,0.000103267
97A,0.00017351,8.70E-05
101A,0.001122826,3.25E-05
102A,0.000813873,0.000234268
104A,0.001616739,9.14E-05
105A,NA,NA
108A,NA,NA
110A,NA,0.0001272
111A,0.002882114,0.000374843
112A,0.001044062,0.000138449
113A,5.87E-05,NA
122A,0.000417097,0.000181846
126A,0.000901432,0.000213309
127A,0.000678147,0.001195037
128A,NA,3.45E-05
132A,0.000405415,8.61E-05
140A,1.46E-05,7.89E-05
142A,0.000860067,0.000242423
145A,0.004154743,0.000253051
149A,0.003195329,0.000296333
150A,0.001669291,0.000153117
153A,NA,NA
156A,NA,4.15E-05
157A,0.000119241,0.000189765
159A,0.000610818,0.000177669
164A,0.001921109,0.001964683
170A,0.000324889,0.000742888
171A,0.000861682,0.000225069
173A,3.04E-05,NA
174A,0.00127992,0.000313953
176A,0.000383002,0.000491375
177A,5.80E-05,5.52E-05
180A,0.001752144,0.000240663
183A,0.000311079,0.000166375
184A,0.000466799,0.000172909
185A,0.001561378,0.001407318
187A,0.000307364,0.000247346
189A,0.000709868,0.000344989
191A,0.000752259,0.00051463
193A,NA,7.69E-05
198A,0.000255604,8.13E-05
203A,0.002436711,0.000469704
205A,0.00059956,7.11E-05
207A,2.40E-05,NA
210A,0.000490063,0.000153333
216A,0.000115135,3.36E-05
219A,0.001308744,0.000227606
225A,0.002047976,3.46E-05
230A,0.000574302,0.000544794
232A,0.000894971,3.86E-05
241A,0.09118138,0.000392421
242A,0.001150813,0.000303214
243A,0.00016893,8.57E-05
245A,2.12E-05,5.52E-05
